OBJECTID,HWMID,HWM_TYPE,WTSHUNIT,WTSHNAME,UNIT_NO,CHAN_NAME,ROAD_NAME,STAGEGAGE,BM_NO,BM_DESC,BM_ELEV,ADJUST,SE10YR,SE50YR,SE100YR,SE500YR,LEGACY,FLD_DATE,CHK_DATE,BM_COND,HWM_ELEV,DISCLAIM,HWM_LOC,HWM_DESC,HWM_CONF,COMMENT,TEAM_MEM,PARTY_CHIEF,SRVY_CO,SRVY_DATE,POINT_X,POINT_Y,STATUS,SENSOR_PEAK_ELEV,TOP_PIPE_ELEV,HWI_ELEV,FINAL_HWM,GlobalID,CreationDate,Creator,EditDate,Editor,Water_Level_Change,HWM_VERIF,BMELEV_HISTORICAL,CSG_ELEVATION
259,A-0026,BRIDGE,A,CLEAR CREEK,A120-00-00,BEAMER DITCH,DIXIE FARM RD(FM 1959),,010483,"Floodplain Reference Mark Number 010483 is a brass disk stamped RM 010483 at Dixie Farm Road and Halls Road Ditch located on the downstream side of the bridge at the east end bridge abutment in Key Map 616 M in the Clear Creek Watershed (A120-00-00). ELEV. 27.60, NAVD 1988, 2001 Adjusted.",27.6,-0.6,27.5,29.1,30.3,31,0,2017-08-27,2017-09-11 18:49,Good,29.11,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Seed line on bridge approach on guard rail,Medium,,"J. Justice, J. Lindner",J. Justice,HCFCD,2017-09-11 18:50,-95.20319952,29.56918504,Complete,,,,,{A8DFC656-E7A3-4BF6-AECB-776A7BE9C437},2017-08-30 15:15,HCFCDGISADMIN,2017-09-11 18:51,jeremy.justice9,1.51,,27.6,
260,A-0027,BRIDGE,A,CLEAR CREEK,A120-00-00,BEAMER DITCH,SCARSDALE,,010493,"Floodplain Reference Mark Number 010493 is a HCFCD disk stamped A120 ANDY at Scarsdale Boulevard at Halls Road Ditch located on the downstream side of bridge at the stream centerline in Key Map 616 G in the Clear Creek Watershed (A120-00-00). ELEV. 34.20 Feet. NAVD 1988, 2001 Adjusted.",34.2,-0.8,28.3,30.3,31,32.1,0,2017-08-27,2017-09-03 16:34,Good,31.1,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Debris line right hand side face if downstream,Medium,,"Tim Hayes, Barden Ambroze ",Dylan Epley,HCFCD,2017-09-03 16:35,-95.21359358,29.58467041,Complete,,,,,{EC7BDA34-B6C9-443D-9E4E-99659284E448},2017-08-30 15:15,HCFCDGISADMIN,2017-09-03 16:36,Dylan_Epley,3.1,,34.2,
261,A-0028,BRIDGE,A,CLEAR CREEK,A120-00-00,BEAMER DITCH,SAGEDOWNE,,010494,"Floodplain Reference Mark Number 010493 is a HCFCD disk stamped A120 ANDY at Sagedowne Road and Halls Road Ditch located on the downstream side of bridge at the stream centerline in Key Map 616 G in the Clear Creek Watershed (A120-00-00). ELEV. 34.20 Feet. NAVD 1988, 2001 Adjusted.",32.04,-0.8,29.5,31.4,32.1,33.1,0,2017-08-27,2017-09-03 16:17,Good,31.86,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Seed line on bridge. Right hand side facing downstream,High,,"Tim Hayes, Barden Ambroze",Dylan Epley ,HCFCD,2017-09-03 16:19,-95.219907,29.59011754,Complete,,,,,{D213E8E5-653C-48F9-9C25-A34200BD60D8},2017-08-30 15:15,HCFCDGISADMIN,2017-09-03 16:19,Dylan_Epley,0.18,,32.04,
262,A-0029,BRIDGE,A,CLEAR CREEK,A120-00-00,BEAMER DITCH,HUGHES,160,010495,"Floodplain Reference Mark Number 010495 is a
ALUM DISC stamped A120 BM 05 on bridge at
Hughes NE-bound and Halls Road Ditch located SE sidewalk,
between the two lanes of Beamer, at the stream centerline
in the Clear Creek Watershed near stream A120-00-00
ELEV. 32.24 Feet NAVD 1988, 2001 Adjusted.",32.24,-0.7,29.8,31.9,32.6,33.5,0,2017-08-27,2017-09-03 15:38,Good,33.21,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Line on traffic light. Left hand side across street facing downstream,Low,"Verified Max: 33.21 (survey HWM 33.64, using peak gage elevation)","Tim Hayes, Barden Ambroze ",Dylan Epley,HCFCD,2017-09-03 16:00,-95.22228745,29.592055,Complete,,,,,{9F0F9E15-55A0-4ED5-BC14-FC6E89934123},2017-08-30 15:15,HCFCDGISADMIN,2017-09-06 18:06,Ronald_Havran,0.97,,32.24,33.32
263,A-0030,BRIDGE,A,CLEAR CREEK,A120-00-00,BEAMER DITCH,HALL RD,,010540,"Floodplain Reference Mark Number 010540  is a
ALUM DISC stamped A 120 BM 07 on concrete headwall at
Hall and A120-00-00 located on headwall south of Hall,
between the north and south bound lanes of Beamer
in the Clear Creek Watershed near stream A 120-00-00
ELEV. 32.26 Feet NAVD 1988, 2001 Adjusted.",32.26,-0.6,31.1,33.1,33.7,34.7,0,2017-08-27,2017-09-03 15:25,Good,33.32,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Debris Line on pole. Right hand side facing south. ,Low,Good ,"Tim Hayes, Barden Ambroze ",Dylan Epley,HCFCD,2017-09-03 15:30,-95.2278144,29.5965843,Complete,,,,,{F7186FCA-8C7A-4A20-BB4F-80211C7BE1EB},2017-08-30 15:15,HCFCDGISADMIN,2017-09-03 15:31,Dylan_Epley,1.06,,32.26,
264,A-0031,BRIDGE,A,CLEAR CREEK,A120-00-00,BEAMER DITCH,KIRKFAIR,,010503,"Floodplain Reference Mark Number 010503 is a brass disk stamped 010503 at Kirkfair Drive and Halls Road Ditch located on the concrete headwall on the downstream side at the stream centerline in Key Map 576 X in the Clear Creek Watershed (A120-00-00). ELEV. 32.79 Feet NAVD 1988, 2001 Adjusted.",32.79,-0.6,31.9,33.2,33.8,34.8,0,2017-08-27,2017-09-03 14:44,Good,34.97,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Debris on chainlink fence on left hand berm facing downstream,High,,"Tim Hayes, Barden Ambroze",Dylan Epley,HCFCD,2017-09-03 14:46,-95.23071927,29.59887115,Complete,,,,,{DA974055-6897-4744-BFB9-28D3D1C5B4D0},2017-08-30 15:15,HCFCDGISADMIN,2017-09-03 14:55,Dylan_Epley,2.18,,32.79,
265,A-0032,BRIDGE,A,CLEAR CREEK,A120-00-00,BEAMER DITCH,RADIO RD,,010525,"Floodplain Reference Mark Number 010525  is a
ALUM DISC stamped A 120 BM 13 on bridge at
Radio and A120-00-00 located on upstream, 
west concrete walk, at center line of stream
in the Clear Creek Watershed near stream A120-00-00
ELEV. 43.54 Feet NAVD 1988, 2001 Adjusted.",43.54,-0.7,0,0,0,0,0,2017-08-27,2017-09-03 18:21,Good,42.06,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Seed line on bridge on right side of bridge facing downstream,High,,"Tim Hayes, Barden Ambroze ",Dylan Epley,HCFCD,2017-09-03 18:23,-95.25562398,29.61997052,Complete,,,,,{265A4631-5B3B-478E-8421-9E54F37AEA34},2017-08-30 15:15,HCFCDGISADMIN,2017-09-03 18:24,Dylan_Epley,1.48,,43.54,
266,A-0033,BRIDGE,A,CLEAR CREEK,A120-00-00,BEAMER DITCH,MOERS RD,,010528,"Floodplain Reference Mark Number 010528 is a HCFCD disk stamped A120 BM14 at Moers Road and Halls Road Ditch located on the downstream side of the bridge at the stream centerline in Key Map 575 Q and in the Clear Creek Watershed (A120-00-00). ELEV. 44.65 Feet NAVD 1988, 2001 Adjusted.",44.65,-0.8,0,0,0,0,0,2017-08-27,2017-09-03 18:41,Good,43.24,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,SeedLine on Bride left hand side facing downstream,High,,"Tim Hayes, Barden Ambroze ",Dylan Epley,HCFCD,2017-09-03 18:43,-95.26435952,29.61985161,Complete,,,,,{A8A02655-2EAF-498F-B720-7F24F8172794},2017-08-30 15:15,HCFCDGISADMIN,2017-09-03 18:47,Dylan_Epley,1.41,,44.65,
267,B-0001,BRIDGE,B,ARMAND BAYOU,B100-00-00,ARMAND BAYOU,NASA RD #1,210,020005,"Floodplain Reference Mark Number 020005 is a
ALUM DISC stamped B 100 BM 01 RESET 99 on bridge at
Nasa Road 1 (NE-bound) and Clear Lake located on downstream, 
south concrete walk, at center of bridge
in the Armand Bayou Watershed near stream B100-00-00
ELEV. 11.75 Feet NAVD 1988, 2001 Adjusted.",11.75,-0.6,5,9.9,11.5,15,0,2017-08-27,2017-09-01 16:58,good,8.29,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris line on bank slope,High,Verified Max: Sensor Validation threshold too low. very solid debris line clear throughout area,"omolade, b. Edmondson",b. McCoy,baseline,2017-09-01 16:59,-95.07213785,29.56265483,Complete,,,,,{7CDE411B-47FC-4ED4-B3BD-E5CF5C0A15DC},2017-08-30 15:15,HCFCDGISADMIN,2017-09-05 19:32,Valerie_Lomas,3.46,,11.75,8.94
268,B-0002,BRIDGE,B,ARMAND BAYOU,B100-00-00,ARMAND BAYOU,CLEAR LAKE PARK,,020008,"Floodplain Reference Mark Number 020008 is a brass disk stamped RM 020008 EST 2005 located in the concrete slab of the restrooms of Clear Lake Park just north of Nasa Rd 1 on the east side of Pasadena Lake in Key Map 619 L in the Armand Bayou Watershed (B100-00-00). ELEV. 14.75 Feet NAVD 1988, 2001 Adjusted.",14.75,-0.6,5,9.9,11.5,15,0,2017-08-27,2017-09-01 16:14,good,8.95,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,trash and debris line in grass,High,consistent line of trash and debris found.,"omolade, b. Edmondson",b. McCoy,baseline,2017-09-01 16:16,-95.0699,29.567,Complete,,,,,{F374343D-DC3D-4A04-A9A6-78E97F97AC3F},2017-08-30 15:15,HCFCDGISADMIN,2017-09-01 16:20,Brian_Edmondson,5.8,,14.75,
269,B-0003,BRIDGE,B,ARMAND BAYOU,B100-00-00,ARMAND BAYOU,BAY AREA BLVD,,020015,"Floodplain Reference Mark Number 020015 is a
ALUM DISC stamped B 100 BM 1A on bridge at
Bay Area Blvd (E-bound) and Armand Bayou located on downstream,
concrete walk, at center of East Bound Bridge
in the Armand Bayou Watershed near stream B100-00-00
ELEV. 12.21 Feet NAVD 1988, 2001 Adjusted.",12.21,-0.3,7.5,10.5,11.5,15,0,2017-08-27,2017-09-01 15:40,good,9.01,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Upstream,debris line between bridges. ,Low,spoke with jogger who saw the area after peak and saw water ar bottom of bridge. also saw a fish on bridge. but no debris was found on top of bridge. hwm ds was impossible to locate due to depth.,"omolade, b. Edmondson",b. McCoy,baseline,2017-09-01 15:41,-95.09104804,29.59663153,Complete,,,,,{35926CF4-D6AA-41C4-84FE-9D3EA3A56123},2017-08-30 15:15,HCFCDGISADMIN,2017-09-01 15:49,Brian_Edmondson,3.2,,12.12,
270,B-0004,BRIDGE,B,ARMAND BAYOU,B100-00-00,ARMAND BAYOU,GENOA RED BLUFF,220,020033R,"Floodplain Reference Mark Number 020033R is a 
ALUM DISK Stamped 020033R on bridge at 
Genoa Red Bluff Rd. and Armand Bayou on downstream, South side,
in KeyMap 578L in the Armand Watershed on stream B100-00-00
ELEV. 23.14 FEET NAVD, 2001 Adjusted.
For More Information visit web-site
www.eng.hctx.net/permits.htm",23.14,-0.2,16.4,17.3,18.4,19.6,0,2017-08-27,2017-09-02 14:39,Good,19.47,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Upstream,Seed line between bridges on western sideslope,High,"Verified Max: 19.47 (surveyed HWM 15.54, using Peak gage elevation)","Ross Rice, Paul Fryckland ",Dylan Epley,HCFCD,2017-09-02 14:41,-95.11422849,29.63399442,Complete,,,,,{4E7A0D44-15E9-41A4-AA68-3B78290AA181},2017-08-30 15:15,HCFCDGISADMIN,2017-09-06 18:35,Ronald_Havran,3.67,,17.38,19.65
271,B-0006,BRIDGE,B,ARMAND BAYOU,B104-00-00,HORSEPEN BAYOU,B104 @ BAY AREA BLVD,250,020070,"Floodplain Reference Mark Number 020070 is a
ALUM DISC stamped B 104 BM 01 on bridge at
Bay Area Blvd (N-bound) and Horsepen Bayou located
on downstream, east concrete walk, at the centerline of stream
in the Armand Bayou Watershed near stream B104-00-00
ELEV. 16.63 Feet NAVD 1988, 2001 Adjusted.",16.63,-0.3,11.6,13.3,14,15.7,0,2017-08-27,2017-09-01 19:12,good,15.74,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris on bridge,Medium,"Verified Max: 15.74. other debris seen at site on channel appeared to be same elevation (survey mark 15.32, using peak gage el.)","omolade, b. Edmondson",b. McCoy,baseline,2017-09-01 19:21,-95.10352101,29.58340859,Complete,,,,,{3F958572-9FDA-42F3-8628-1C6C675F2EA1},2017-08-30 15:15,HCFCDGISADMIN,2017-09-06 16:25,Ronald_Havran,0.89,,16.63,15.94
272,B-0007,BRIDGE,B,ARMAND BAYOU,B106-00-00,BIG ISLAND SLOUGH,RED BLUFF,,020155,"Floodplain Reference Mark Number 020155 is a
BRASS DISC stamped T 1277 1978 on bridge at
Red Bluff and Big Island Slough located in the downstream 
concrete railing, at southern most corner, of SE bound Bridge
in the Armand Bayou Watershed near stream B106-00-00
ELEV. 14.7 Feet NAVD 1988, 2001 Adjusted.",14.7,-0.1,8.6,11.6,12.5,15.6,0,2017-08-27,2017-08-31 18:50,good,12.9,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris line,Low,"mark was very faint, a good debris line was founs in tree hanging over water and the marked line appeared to be at a similar elevation.","b. McCoy, b.edmondson",b. McCoy,baseline,2017-08-31 19:12,-95.08419328,29.61349302,Complete,,,,,{1B35A1CA-8DF1-4ECD-A258-771216A1BA72},2017-08-30 15:15,HCFCDGISADMIN,2017-08-31 19:19,Brian_Edmondson,1.8,,14.7,
273,B-0005,BRIDGE,B,ARMAND BAYOU,B100-00-00,ARMAND BAYOU,FAIRMONT PKWY,,020040,"Floodplain Reference Mark Number 020040 is a
ALUM DISC stamped B 100 BM 04 on bridge at
Fairmont Parkway (E-bound) and Armand Bayou located 
on the downstream. S. side of the east bound bridge, at centerline of bayou
in the Armand Bayou Watershed near stream B100-00-00
ELEV. 23.99 Feet NAVD 1988, 2001 Adjusted.",23.99,-0.1,22.4,23.6,24,24.8,0,2017-08-27,2017-09-02 15:07,Good,25.04,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Debris line DS from Fairmont Plkway. In brush marked with orange line.,High,,"Ross Rice, Paul Fryckland ",Dylan Epley ,HCFCD,2017-09-02 15:08,-95.12917096,29.6503132,Complete,,,,,{E1E165D4-9834-4146-B0CA-B872140253B8},2017-08-30 15:15,HCFCDGISADMIN,2017-09-05 15:55,Ronald_Havran,1.05,,23.99,
274,B-0008,BRIDGE,B,ARMAND BAYOU,B106-00-00,BIG ISLAND SLOUGH,FAIRMONT PKWY,230,020170,"Floodplain Reference Mark Number 020170 is a
ALUM DISC stamped B 106 BM 02 on bridge at
Eastbound Fairmont Parkway and Big Island Slough located on downstream,
south sidewalk of eastbound bridge, at stream center
in the Armand Bayou Watershed near stream B106-00-00
ELEV. 21.25 Feet NAVD 1988, 2001 Adjusted.",21.25,-1,13.4,16.1,17,19.4,0,2017-08-27,2017-08-31 18:24,good,15.5,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris line on channel,High,"Verified max 15.5. 2nd debris line visible in photo below mark. (Survey mark at 15.01, using gage peak el.)","b. McCoy, b. Edmondson",b. McCoy's,baseline,2017-08-31 18:28,-95.0757262,29.65171745,Complete,,,,,{15FA97F9-D5D7-426E-8D04-3B17EB380144},2017-08-30 15:15,HCFCDGISADMIN,2017-09-06 19:15,Ronald_Havran,5.75,,21.25,15.67
275,B-0009,BRIDGE,B,ARMAND BAYOU,B106-00-00,BIG ISLAND SLOUGH,SPENCER HWY,,020185,"Floodplain Reference Mark Number 020185 is a
BRASS DISC stamped X 1243 NGS on bridge at
Spencer Hwy and Big Island Slough located
at SW corner of bridge, on top of downstream barrier wall
in the Armand Bayou Watershed near stream B106-00-00
ELEV. 21.64 Feet NAVD 1988, 2001 Adjusted.",21.64,-0.8,15.6,18.3,19.4,21,0,2017-08-27,2017-08-31 17:41,good,17.29,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris line on channel,Medium,,"b. McCoy, b. Edmondson",b. McCoy,baseline,2017-08-31 17:40,-95.07836131,29.66446923,Complete,,,,,{5CAD7E62-6A2F-48E9-B1AE-8B0B8942E55F},2017-08-30 15:15,HCFCDGISADMIN,2017-08-31 17:43,Brian_Edmondson,4.35,,21.64,
276,B-0010,BRIDGE,B,ARMAND BAYOU,B106-00-00,BIG ISLAND SLOUGH,"NORTH ""L"" ST",,020190,"Floodplain Reference Mark Number 020190 is a
ALUM DISC stamped B 106 BM 03 on bridge at
North L Street and Big Island Slough located on 
the downstream concrete walk, at stream center
in the Armand Bayou Watershed near stream B106-00-00
ELEV. 24.19 Feet NAVD 1988, 2001 Adjusted.",24.19,-0.3,18.7,20.8,21.7,23.5,0,2017-08-27,2017-08-31 17:13,good,19.4,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris line on channel,High,,"b. mccoy, b. Edmondson",b. McCoy,baseline,2017-08-31 17:14,-95.07921154,29.67995942,Complete,,,,,{DCDEA5B9-AE31-4211-87F8-7468C41410D7},2017-08-30 15:15,HCFCDGISADMIN,2017-08-31 17:20,Brian_Edmondson,4.79,,24.19,
277,B-0011,BRIDGE,B,ARMAND BAYOU,B106-00-00,BIG ISLAND SLOUGH,"N ""P"" ST",,020195,"Floodplain Reference Mark Number 020195 is a
ALUM DISC stamped B 106 BM 04 on bridge at
North P Street and Big Island Slough located on downstream
concrete walk, at the stream centerline
in the Armand Bayou Watershed near stream B106-00-00
ELEV. 25.16 Feet NAVD 1988, 2001 Adjusted.",25.16,-0.4,20,21.6,22.5,24.4,0,2017-08-27,,good,20.96,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris on channel,Medium,,"b. mccoy,. b.edmondson",b. McCoy,HCFCD,2017-08-31 16:54,-95.07474292,29.68520556,Complete,,,,,{1DC4BA84-7F17-4449-9802-20487667F5D5},2017-08-30 15:15,HCFCDGISADMIN,2017-08-31 16:57,Brian_Edmondson,4.2,,25.16,
278,B-0012,BRIDGE,B,ARMAND BAYOU,B112-00-00,WILLOW SPRING CREEK,RED BLUFF,,020245,"Floodplain Reference Mark Number 020245 is a
BRASS DISC stamped T 1245 1978 on bridge at
Red Bluff (N-bound) and Willow Spring Bayou located
on the upstream concrete railing, on the NE corner of bridge
in the Armand Bayou Watershed near stream B112-00-00
ELEV. 23.5 Feet NAVD 1988, 2001 Adjusted.",23.5,-0.1,18,19,19.5,20.9,0,2017-08-27,2017-08-31 19:38,good,21,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Upstream,debris in fence and bushes. ,High,,b. Edmondson,b. McCoy,baseline,2017-08-31 19:48,-95.11408682,29.64153782,Complete,,,,,{3DB23798-E9E2-4887-8FD7-7738E0F51A30},2017-08-30 15:15,HCFCDGISADMIN,2017-08-31 19:50,Brian_Edmondson,2.5,,23.5,
279,B-0013,BRIDGE,B,ARMAND BAYOU,B112-00-00,WILLOW SPRING CREEK,FAIRMONT PKWY,270,020250,"Floodplain Reference Mark Number 020250 is a
BRASS DISC stamped RM 020250 on bridge abutment at
Fairmont Parkway W-bound and Willow Spring Bayou located on 
downstream, SE corner of the bridge abutment of W-bound Fairmont Pkwy
in the Armand Bayou Watershed near stream B112-00-00
ELEV. 18.91 Feet NAVD 1988, 2001 Adjusted.",18.91,-0.1,18,19,19.5,20.9,0,2017-08-27,2017-08-31 20:10,,21.41,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,mark between bridges next to Gage. debris line,High,"Verified Max: 21.41 (Surveyed HWM 21.31, using gage max el.)",b. Edmondson,b. McCoy,baseline,2017-08-31 20:15,-95.10988234,29.65067813,Complete,,,,,{994A2B38-ACC7-4A42-A3C4-B77C78261721},2017-08-30 15:15,HCFCDGISADMIN,2017-09-06 18:53,Ronald_Havran,2.5,,18.19,21.38
280,B-0014,BRIDGE,B,ARMAND BAYOU,B112-00-00,WILLOW SPRING CREEK,SPENCER HWY,,020255,"Floodplain Reference Mark Number 020255 is a
ALUM DISC stamped B 112 BM 03 on bridge at
Spencer Hwy and Willow Spring Bayou located on downstream,
south concrete walk, at the centerline of the bridge
in the Armand Bayou Watershed near stream B112-00-00
ELEV. 24.11 Feet NAVD 1988, 2001 Adjusted.",24.11,-0.1,19.3,21,21.7,22.9,0,2017-08-27,2017-08-31 20:54,good,22.58,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris in fence. ds on left side fence,High,flooded homes adjacent,b. Edmondson,b. McCoy,baseline,2017-08-31 20:53,-95.10579375,29.66399267,Complete,,,,,{2220C541-56D2-4D23-AC35-51B25F4AEA27},2017-08-30 15:15,HCFCDGISADMIN,2017-08-31 20:56,Brian_Edmondson,1.53,,24.11,
281,B-0015,BRIDGE,B,ARMAND BAYOU,B112-00-00,WILLOW SPRING CREEK,LUELLA ST,,020249,"Floodplain Reference Mark Number 020249 is a BRASS DISK Stamped RM 020249 EST 2006 on the Luella Street bridge over Armand Bayou, located on the head wall at the stream centerline in the Armand Bayou Watershednear stream B112-00-00 ELEV. 25.76 Feet NAVD 1988, 2001 Adjusted.  For more information visit web-site www.eng.hctx.net/permits.htm.",25.76,-0.1,23.2,24.8,25.4,27.4,0,2017-08-27,2017-08-31 21:27,good,27.01,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,debris in fence,High,spoke with homeowner of property I markeled and she confirmed the level,b. Edmondson,b. McCoy,baseline,2017-08-31 21:27,-95.11305803,29.67688489,Complete,,,,,{C2A5091E-3958-46AF-8DFF-F3ED188D47EB},2017-08-30 15:15,HCFCDGISADMIN,2017-08-31 21:28,Brian_Edmondson,1.25,,25.76,
282,B-0016,BRIDGE,B,ARMAND BAYOU,B112-00-00,WILLOW SPRING CREEK,PASADENA BLVD,,020265,"Floodplain Reference Mark Number 020265 is a
BRASS DISC stamped RM 020265 on headwall at
Pasadena Blvd and Willow Spring Bayou located on
the headwall N. of Pasadena Blvd and E. Deer Park fire department
in the Armand Bayou Watershed near stream B112-00-00
ELEV. 26.72 Feet NAVD 1988, 2001 Adjusted.",26.72,-0.1,0,0,0,0,0,2017-08-27,2017-09-11 17:01,good,27.2,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Upstream,debris grass line on channel,High,Found lower mark on downstream side of bridge elevation 28.82,"J. Justice, J. Lindner",J. Justice,Hcfcd,2017-09-11 17:02,-95.11481916,29.67936065,Complete,,,,,{DA9AAA38-1BD6-4A34-8ADF-26969DB56E29},2017-08-30 15:15,HCFCDGISADMIN,2017-09-11 17:02,jeremy.justice9,0.48,,26.72,
283,B-0017,BRIDGE,B,ARMAND BAYOU,B112-00-00,WILLOW SPRING CREEK,CENTER ST,,020270,"Floodplain Reference Mark Number 020270 is a
BRASS DISC stamped RM 020270 on headwall at
Center Street (N-bound) and Willow Springs Bayou,  located
on heawall, S. of intersection with McDermott, E. of Center 
in the Armand Bayou Watershed near stream B112-00-00
ELEV. 28.04 Feet NAVD 1988, 2001 Adjusted.",28.04,0,0,0,0,0,0,2017-08-27,2017-09-11 17:10,good,28.62,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Debris line (mulch) left bank ,High,,"J. Justice, J. Lindner",J. Justice,Hcfcd,2017-09-11 17:11,-95.12312221,29.68168273,Complete,,,,,{3AFBF6AA-FDF7-4BAC-848E-86D606E54A66},2017-08-30 15:15,HCFCDGISADMIN,2017-09-11 17:11,jeremy.justice9,0.58,,28.04,
284,C-0001,BRIDGE,C,SIMS BAYOU,C100-00-00,SIMS BAYOU,ST HWY 3,,030020,"Floodplain Reference Mark Number 030020 is a
Brass Disk stamped C100 RAINS on bridge at
Galveston Road and Sims Bayou located on downstream,
east side of bridge, on concrete walk, at stream centerline
in the Sims Watershed near stream C100-00-00
ELEV. 27.092 Feet NAVD 1988, 2001 Adjusted.",27.09,-0.2,13.1,18.8,22,27,0,2017-08-27,2017-08-31 21:06,Good,20.67,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Scour line on bare ground that was recently prepped for turf for recent installation of hike&bike trail. Turf was not yet established on slopes. Elevation of scour line coincided with trash line in trees along closest bank. ,High,None,"T. Hayes, S. Benigno, J. Rosa",T. Hayes,HCFCD,2017-08-31 21:09,-95.26221451,29.69247511,Complete,,,,,{EC16323C-D39E-468D-8D16-D74705DAC496},2017-08-30 15:15,HCFCDGISADMIN,2017-08-31 21:18,Stephen.Benigno_HCFCD,6.42,,27.09,
285,C-0002,BRIDGE,C,SIMS BAYOU,C100-00-00,SIMS BAYOU,IH 45,,030030,"Floodplain Reference Mark Number 030030 is a
Brass Disk stamped C100 0030C on bridge at
IH 45 N-bound feeder and Sims Bayou located on downstream,
east sidewalk, at bayou centerline
in the Sims Watershed near stream C100-00-00
ELEV. 27.542 Feet NAVD 1988, 2001 Adjusted.",27.54,-0.4,15.1,20.6,23.5,28.5,0,2017-08-27,2017-08-31 20:38,Good,22.1,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Fenceline debris across utility pipes on south slope,High,None,"T. Hayes, S. Benigno, J. Rosa",T. Hayes,HCFCD,2017-08-31 20:40,-95.27257867,29.68045175,Complete,,,,,{0E9FF883-C5BA-4CDA-99C0-100835A4BB96},2017-08-30 15:15,HCFCDGISADMIN,2017-08-31 20:47,Stephen.Benigno_HCFCD,5.44,,27.54,
286,C-0003,BRIDGE,C,SIMS BAYOU,C100-00-00,SIMS BAYOU,BROADWAY,,030035,"Floodplain Reference Mark Number 030035 is a
Brass Disk stamped 030035 on bridge at
Broadway Street (N-bound) and Sims Bayou located on downstream,
east concrete walk, at northeast corner of bridge
in the Sims Watershed near stream C100-00-00
ELEV. 26.342 Feet NAVD 1988, 2001 Adjusted.",26.34,-0.4,15.8,21.2,24.2,29.4,0,2017-08-27,2017-08-31 20:18,Good,22.33,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Debris line on grass slope at TOB. Difficult to accurately define due to possible runoff from nearby church parking lot. Verified debris line from across channel and seed line on upstream bridge location. ,Medium,None,"T. Hayes, S. Benigno, J. Rosa",T. Hayes,HCFCD,2017-08-31 20:20,-95.27729079,29.67946832,Complete,,,,,{C58A0CC6-A577-4E58-A3D9-B70BD024BC50},2017-08-30 15:15,HCFCDGISADMIN,2017-08-31 20:24,Stephen.Benigno_HCFCD,4.01,,26.34,
287,C-0004,BRIDGE,C,SIMS BAYOU,C100-00-00,SIMS BAYOU,TELEPHONE RD,340,030040,"Floodplain Reference Mark Number 030040 is a
Brass Disk stamped C100 BM04 Reset 2001 on bridge at
Telephone Road (N-Bound) and Sims Bayou located on downstream,
east concrete walk, at stream centerline, N. of TxDOT monument
in the Sims Watershed near stream C100-00-00
ELEV. 28.52 Feet NAVD 1988, 2001 Adjusted.",28.52,-0.8,18.4,23,25.6,30.6,0,2017-08-27,2017-08-31 19:35,Good,26.27,All Elevations Are Based Off NAVD 1988; 2001 Adj.,Downstream,Debris line on grass slope near TOB,High,"Verified Max: 26.27 (Surveyed HWM 25.87, using peak gage el.)","T. Hayes, S. Benigno, J. Rosa",T. Hayes,HCFCD,2017-08-31 19:36,-95.28920009,29.67401776,Complete,,,,,{BE2FBBD6-CF5A-4385-93EA-B22742B03E97},2017-08-30 15:15,HCFCDGISADMIN,2017-09-08 14:01,Ronald_Havran,2.25,,28.52,26.37
